3112,9.73,9.6,0.13,-0.01,0,0,0,0,0
3149,9.66,9.6,0.06,0,0,0,0,0,0
3185,9.78,9.61,0.17,0.02,0,0,0,0,0
3221,9.97,9.62,0.35,0.05,0,0,0,0,0
3257,9.81,9.62,0.19,0.07,0,0,0,0,0
3293,10.3,9.64,0.66,0.12,0,0,0,0,0
3329,9.41,9.64,-0.23,0.09,0,0,0,0,0
3366,9.85,9.64,0.21,0.1,0,0,0,0,0
3402,10.52,9.67,0.85,0.18,0,0,0,0,0
3439,10.54,9.69,0.85,0.24,0,0,0,0,0
3476,8.98,9.67,-0.7,0.15,0,0,0,0,0
3513,9.75,9.68,0.07,0.14,0,0,0,0,0
3550,10.41,9.7,0.72,0.2,0,0,0,0,0
3587,10.44,9.72,0.72,0.25,0,0,0,0,0
3624,9.91,9.73,0.18,0.24,0,0,0,0,0
3661,7.6,9.66,-2.06,0.01,0,0,0,0,0
3698,8.7,9.63,-0.94,-0.08,0,0,0,0,0
3735,9.28,9.62,-0.35,-0.11,0,0,0,0,0
3772,9.5,9.62,-0.12,-0.11,0,0,0,0,0
3809,9.35,9.61,-0.26,-0.12,0,0,0,0,0
3846,8.83,9.59,-0.76,-0.19,0,0,0,0,0
3883,8.25,9.55,-1.3,-0.3,0,0,0,0,0
3920,8.77,9.52,-0.75,-0.34,0,0,0,0,0
3957,8.16,9.48,-1.32,-0.44,0,0,0,0,0
3994,8.47,9.45,-0.98,-0.49,0,0,0,0,0
4031,9.07,9.44,-0.37,-0.48,0,0,0,0,0
4068,9.42,9.44,-0.02,-0.44,0,0,0,0,0
4105,9.72,9.45,0.27,-0.37,0,0,0,0,0
4142,10.07,9.47,0.6,-0.27,0,0,0,0,0
4179,10.8,9.51,1.29,-0.11,0,0,0,0,0
4216,10.97,9.55,1.42,0.04,0,0,0,0,0
4252,9.39,9.55,-0.16,0.02,0,0,0,0,0
4289,9.53,9.55,-0.02,0.02,0,0,0,0,0
4326,10.13,9.56,0.57,0.07,0,0,0,0,0
4362,8.9,9.54,-0.64,0,0,0,0,0,0
4399,9.38,9.54,-0.16,-0.02,0,0,0,0,0
4436,8.96,9.52,-0.56,-0.07,0,0,0,0,0
4473,9.61,9.52,0.09,-0.05,0,0,0,0,0
4510,9.96,9.54,0.42,-0.01,0,0,0,0,0
4547,9.83,9.55,0.28,0.02,0,0,0,0,0
4583,9.92,9.56,0.37,0.06,0,0,0,0,0
4619,10,9.57,0.43,0.09,0,0,0,0,0
4655,8.74,9.55,-0.81,0,0,0,0,0,0
4692,9.75,9.55,0.2,0.02,0,0,0,0,0
4728,9.65,9.55,0.09,0.03,0,0,0,0,0
4764,9.32,9.55,-0.23,0,0,0,0,0,0
4801,9.58,9.55,0.03,0.01,0,0,0,0,0
4838,9.76,9.55,0.21,0.03,0,0,0,0,0
4874,9.76,9.56,0.2,0.04,0,0,0,0,0
4910,9.96,9.57,0.39,0.08,0,0,0,0,0
4946,9.88,9.58,0.3,0.1,0,0,0,0,0
4982,9.68,9.59,0.1,0.1,0,0,0,0,0
5018,9.43,9.58,-0.15,0.08,0,0,0,0,0
5055,9.53,9.58,-0.05,0.06,0,0,0,0,0
5092,9.5,9.58,-0.08,0.05,0,0,0,0,0
5129,9.46,9.57,-0.11,0.03,0,0,0,0,0
5166,9.56,9.57,-0.02,0.03,0,0,0,0,0
5203,9.44,9.57,-0.13,0.01,0,0,0,0,0
5240,9.43,9.56,-0.13,0,0,0,0,0,0
5277,9.58,9.56,0.01,0,0,0,0,0,0
5314,9.59,9.57,0.03,0,0,0,0,0,0
5350,9.59,9.57,0.02,0,0,0,0,0,0
5386,9.55,9.57,-0.01,0,0,0,0,0,0
5423,9.57,9.57,0,0,0,0,0,0,0
5460,9.59,9.57,0.03,0,0,0,0,0,0
5497,9.76,9.57,0.19,0.02,0,0,0,0,0
5534,9.66,9.58,0.09,0.03,0,0,0,0,0
5571,9.5,9.57,-0.08,0.02,0,0,0,0,0
5608,9.51,9.57,-0.06,0.01,0,0,0,0,0
5645,9.58,9.57,0.01,0.01,0,0,0,0,0
5682,9.57,9.57,0,0.01,0,0,0,0,0
5719,9.59,9.57,0.02,0.01,0,0,0,0,0
5756,9.63,9.57,0.05,0.01,0,0,0,0,0
5793,9.51,9.57,-0.06,0.01,0,0,0,0,0
5830,9.47,9.57,-0.1,0,0,0,0,0,0
5867,9.48,9.57,-0.09,-0.01,0,0,0,0,0
5904,9.48,9.56,-0.08,-0.02,0,0,0,0,0
5941,9.63,9.57,0.06,-0.01,0,0,0,0,0
5978,9.59,9.57,0.02,-0.01,0,0,0,0,0
6015,9.51,9.56,-0.05,-0.01,0,1,0,1,0
6052,9.56,9.56,-0.01,-0.01,0,1,0,1,0
6089,9.62,9.57,0.06,0,0,1,0,1,0
6126,9.59,9.57,0.02,0,0,1,0,1,0
6163,9.67,9.57,0.1,0.01,0,1,0,1,0
6200,9.64,9.57,0.06,0.01,0,1,0,1,0
6237,9.53,9.57,-0.04,0.01,0,1,0,1,0
6274,9.5,9.57,-0.07,0,0,1,0,1,0
6311,9.54,9.57,-0.03,0,0,1,0,1,0
6348,9.57,9.57,0,0,0,1,0,1,0
6385,9.54,9.57,-0.03,0,0,1,0,1,0
6422,9.55,9.57,-0.02,-0.01,0,1,0,1,0
6459,9.59,9.57,0.03,0,0,1,0,1,0
6496,9.53,9.57,-0.04,-0.01,0,1,0,1,0
6533,9.6,9.57,0.03,0,0,1,0,1,0
6570,9.54,9.57,-0.02,0,0,1,0,1,0
6607,9.57,9.57,0,0,0,1,0,1,0
